id,title,authors,categories,published_date,publisher,average_rating,ratings_count,page_count,description,thumbnail,info_link,preview_link
HXBNAAAAYAAJ,The Publishers' Circular and Booksellers' Record,Unknown,Bibliography,1913,,,,860,,http://books.google.com/books/content?id=HXBNAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=HXBNAAAAYAAJ&source=gbs_api,http://books.google.com/books?id=HXBNAAAAYAAJ&pg=PA165&dq=fiction&hl=&cd=214&source=gbs_api
sYsnAQAAMAAJ,International Book Trade Directory,Unknown,Book industries and trade,1979,,,,512,,http://books.google.com/books/content?id=sYsnAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=sYsnAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=sYsnAQAAMAAJ&pg=PA81&dq=fiction&hl=&cd=215&source=gbs_api
jbhZAAAAYAAJ,Lippincott's Monthly Magazine,Unknown,Uncategorized,1915,,,,784,,http://books.google.com/books/content?id=jbhZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=jbhZAAAAYAAJ&source=gbs_api,http://books.google.com/books?id=jbhZAAAAYAAJ&pg=PA86&dq=fiction&hl=&cd=216&source=gbs_api
pNDU_hjp4AYC,Tri-quarterly,Unknown,"College students' writings, American",1975,,,,614,,http://books.google.com/books/content?id=pNDU_hjp4AYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=pNDU_hjp4AYC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=pNDU_hjp4AYC&q=fiction&dq=fiction&hl=&cd=217&source=gbs_api
vYAkAQAAMAAJ,NewMedia,Unknown,Multimedia systems,1993,,,,626,,http://books.google.com/books/content?id=vYAkAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=vYAkAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=vYAkAQAAMAAJ&q=fiction&dq=fiction&hl=&cd=218&source=gbs_api
jXbTAAAAMAAJ,Historical Intrusions Into the Fictional Domain in Book V of Spencer's Faerie Queene,Nancy C. Shih-Knodel,Uncategorized,1996,,,,548,,http://books.google.com/books/content?id=jXbTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=jXbTAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=jXbTAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=219&source=gbs_api
3VlZAAAAMAAJ,Southern Humanities Review,Unknown,Humanities,1973,,,,774,,http://books.google.com/books/content?id=3VlZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=3VlZAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=3VlZAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=220&source=gbs_api
wCckYAy4tCYC,News and the newspaper,Missouri. University. School of journalism,Uncategorized,1923,,,,132,,http://books.google.com/books/content?id=wCckYAy4tCYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=wCckYAy4tCYC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=wCckYAy4tCYC&q=fiction&dq=fiction&hl=&cd=221&source=gbs_api
A7bgAAAAMAAJ,News & Views of the South Carolina Library Association,South Carolina Library Association,Libraries,1989,,,,328,,http://books.google.com/books/content?id=A7bgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=A7bgAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=A7bgAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=222&source=gbs_api
8jpVAAAAYAAJ,A.L.A. Booklist,Unknown,Best books,1956,,,,764,,http://books.google.com/books/content?id=8jpVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=8jpVAAAAYAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=8jpVAAAAYAAJ&q=fiction&dq=fiction&hl=&cd=223&source=gbs_api
Yh5d8jMLSqsC,Phoebe,Unknown,Women's studies,2003,,,,780,,http://books.google.com/books/content?id=Yh5d8jMLSqsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Yh5d8jMLSqsC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=Yh5d8jMLSqsC&q=fiction&dq=fiction&hl=&cd=224&source=gbs_api
swBFPhgoh0gC,The 1974 Annual World's Best SF,Unknown,Uncategorized,1974,,,,256,,http://books.google.com/books/content?id=swBFPhgoh0gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=swBFPhgoh0gC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=swBFPhgoh0gC&q=fiction&dq=fiction&hl=&cd=225&source=gbs_api
cLJlAAAAMAAJ,Dying Planet,Robert Markley,Fiction,2005-09-08,Duke University Press Books,,,464,"For more than a century, Mars has been at the center of debates about humanity’s place in the cosmos. Focusing on perceptions of the red planet in scientific works and science fiction, Dying Planet analyzes the ways Mars has served as a screen onto which humankind has projected both its hopes for the future and its fears of ecological devastation on Earth. Robert Markley draws on planetary astronomy, the history and cultural study of science, science fiction, literary and cultural criticism, ecology, and astrobiology to offer a cross-disciplinary investigation of the cultural and scientific dynamics that have kept Mars on front pages since the 1800s. Markley interweaves chapters on science and science fiction, enabling him to illuminate each arena and to explore the ways their concerns overlap and influence one another. He tracks all the major scientific developments, from observations through primitive telescopes in the seventeenth century to data returned by the rovers that landed on Mars in 2004. Markley describes how major science fiction writers—H. G. Wells, Kim Stanley Robinson, Philip K. Dick, Edgar Rice Burroughs, Ray Bradbury, Robert Heinlein, and Judith Merril—responded to new theories and new controversies. He also considers representations of Mars in film, on the radio, and in the popular press. In its comprehensive study of both science and science fiction, Dying Planet reveals how changing conceptions of Mars have had crucial consequences for understanding ecology on Earth.",http://books.google.com/books/content?id=cLJlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=cLJlAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=cLJlAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=226&source=gbs_api
TdppjJFzeL4C,Some Problems in Book Selection Policies and Practices in Medium-sized Public Libraries,Dorothy Bendix,Book selection,1959,,,,42,,http://books.google.com/books/content?id=TdppjJFzeL4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=TdppjJFzeL4C&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=TdppjJFzeL4C&q=fiction&dq=fiction&hl=&cd=227&source=gbs_api
AYLLAAAAMAAJ,"Abstracts of Dissertations for the Degree of Doctor of Philosophy, with an Appendix Upon the Graduate Activities of the University",University of Pittsburgh. Graduate School,"Dissertations, Academic",1954,,,,590,,http://books.google.com/books/content?id=AYLLAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=AYLLAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=AYLLAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=228&source=gbs_api
qCZ7AAAAMAAJ,Caribbean Women Writers,Selwyn Reginald Cudjoe,Literary Criticism,1990,University of Massachusetts Press,,,404,"In 1831, three years before England abolished slavery in the British Caribbean, the narrative of Mary Prince was published in London. It was the first account written by a Caribbean slave to be published. Although narratives and stories of Caribbean women have appeared sporadically in subsequent years, it is only since 1970 that a wave of women's writing has innudated the field, thereby changing the horizons of Caribbean literature.",http://books.google.com/books/content?id=qCZ7AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=qCZ7AAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=qCZ7AAAAMAAJ&q=fiction&dq=fiction&hl=&cd=229&source=gbs_api
bk0kAQAAMAAJ,Science Fare,"Wendy Saul, Alan R. Newman",Antiques & Collectibles,1986,HarperCollins Publishers,,,316,,http://books.google.com/books/content?id=bk0kAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=bk0kAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=bk0kAQAAMAAJ&q=fiction&dq=fiction&hl=&cd=230&source=gbs_api
RB9CAQAAMAAJ,The Southern Reporter,Unknown,"Law reports, digests, etc",1908,,,,2122,,http://books.google.com/books/content?id=RB9CAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=RB9CAQAAMAAJ&source=gbs_api,http://books.google.com/books?id=RB9CAQAAMAAJ&pg=RA1-PA129&dq=fiction&hl=&cd=231&source=gbs_api
AEMaAQAAMAAJ,Annual Register of Grant Support,Unknown,Endowments,1987,,,,1034,,http://books.google.com/books/content?id=AEMaAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=AEMaAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=AEMaAQAAMAAJ&q=fiction&dq=fiction&hl=&cd=232&source=gbs_api
9wFmAAAAMAAJ,The Futurist,Unknown,Business forecasting,1976,,,,774,,http://books.google.com/books/content?id=9wFmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=9wFmAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=9wFmAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=233&source=gbs_api
PDTQAAAAMAAJ,Monthly Bulletin,St. Louis Public Library,Uncategorized,1924,,,,434,"""Teachers' bulletin"", vol. 4- issued as part of v. 23, no. 9-",http://books.google.com/books/content?id=PDTQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=PDTQAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=PDTQAAAAMAAJ&pg=PP8&dq=fiction&hl=&cd=234&source=gbs_api
uEARAAAAMAAJ,A. J. M. Smith,John Ferns,Biography & Autobiography,1979,Boston : Twayne Publishers,,,160,,http://books.google.com/books/content?id=uEARAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=uEARAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=uEARAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=235&source=gbs_api
hdom9dSoXPcC,The Science of Aliens,Jack Challoner,Science,2005,Prestel Publishing,,,60,"""Are we alone? The idea of life existing elsewhere in the Universe has been put forward by philosophers since the time of Ancient Egypt. Today, through science fiction literature, films and television we have all had close encounters with aliens. Now The Science of Aliens examines the possibilities of alien life in outer space as well as presenting a close-up look at 'aliens' on earth. Based on an international interactive exhibition. The Science of Aliens is a combination of imagination and ground-breaking science in the quest for extraterrestrial life.""--BOOK JACKET.",http://books.google.com/books/content?id=hdom9dSoXPcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=hdom9dSoXPcC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=hdom9dSoXPcC&q=fiction&dq=fiction&hl=&cd=236&source=gbs_api
vYOxcfbhV-oC,The Encyclopædia Britannica,Unknown,Uncategorized,1910,,,,990,,http://books.google.com/books/content?id=vYOxcfbhV-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=vYOxcfbhV-oC&source=gbs_api,http://books.google.com/books?id=vYOxcfbhV-oC&pg=PA796&dq=fiction&hl=&cd=237&source=gbs_api
F_PgAAAAMAAJ,Library Literature,H.W. Wilson Company,Bibliographical literature,1950,,,,336,"""An index to library and information science"".",http://books.google.com/books/content?id=F_PgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=F_PgAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=F_PgAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=238&source=gbs_api
79w_LI3Zia0C,People Entertainment Almanac 2000,People Magazine,Biography & Autobiography,1999-11,"Time, Incorporated",,,612,"Brush up on the greatest movies, books, music, and TV shows ever in the sixth edition of this entertainment almanac. Includes a run-down on 400 of the world's favorite celebrities. 150+ photos.",http://books.google.com/books/content?id=79w_LI3Zia0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=79w_LI3Zia0C&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=79w_LI3Zia0C&pg=PA310&dq=fiction&hl=&cd=239&source=gbs_api
DMJkAAAAMAAJ,Twentieth-century Literary Criticism,Gale Research Company,Art and literature,1978,,,,512,"Excerpts from criticism of the works of novelists, poets, playwrights, and other creative writers, 1900-1960.",http://books.google.com/books/content?id=DMJkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=DMJkAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=DMJkAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=240&source=gbs_api
sVnpAAAAMAAJ,Top of the News,Unknown,Children's libraries,1974,,,,902,,http://books.google.com/books/content?id=sVnpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=sVnpAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=sVnpAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=241&source=gbs_api
KzFYAAAAMAAJ,Australian Book Review,Unknown,Australian literature,1987,,,,452,,http://books.google.com/books/content?id=KzFYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=KzFYAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=KzFYAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=242&source=gbs_api
rURVAAAAYAAJ,Quill & Quire,Unknown,Book industries and trade,1987,,,,566,,http://books.google.com/books/content?id=rURVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=rURVAAAAYAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=rURVAAAAYAAJ&q=fiction&dq=fiction&hl=&cd=243&source=gbs_api
8lgxAQAAMAAJ,THE WRITER'S MONTHLY,Unknown,Authorship,1921,,,,616,,http://books.google.com/books/content?id=8lgxAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=8lgxAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=8lgxAQAAMAAJ&q=fiction&dq=fiction&hl=&cd=244&source=gbs_api
XeRkAAAAMAAJ,May Contain Graphic Material,M. Keith Booker,Performing Arts,2007-10-30,Praeger,,,726,"Since the first Superman film came to the screen in 1978, films adapted from comics have become increasingly important as a film form. Since that time, advances in computer-generated special effects have significantly improved the ability of film to capture the style and action of comics, producing film such as X-men and Spider-man.",http://books.google.com/books/content?id=XeRkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=XeRkAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=XeRkAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=245&source=gbs_api
mElgAAAAMAAJ,"The ""Thaw"" in Bulgarian Literature",Atanas Slavov,History,1981,,,,208,A critical review of post-World War II Bulgarian literature focusing on the 1950s and 1960s when the rigidity of communist restrictions on literary expression were temporarily relaxed.,http://books.google.com/books/content?id=mElgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=mElgAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=mElgAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=246&source=gbs_api
kPELAAAAMAAJ,The Free-lance Writer's Handbook,"William Dorsey Kennedy, Margaret Gordon",Authorship,1926,,,,432,,http://books.google.com/books/content?id=kPELAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=kPELAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=kPELAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=247&source=gbs_api
S9DgAAAAMAAJ,Introduction to Operating Systems,William A. Shay,Computers,1993,Prentice Hall,,,634,"This text aims to provide a firm foundation in the principles and concepts of operating systems design and discuss major issues, as well as to show how several operating systems have implemented these concepts. It covers all major topics of operating systems, including memory management, I/O processing, concurrent processing, auxiliary storage management, and scheduling. There is also a chapter on queuing theory and a chapter with four case studies: MS-DOS, UNIX, VMS, and MVS. Additional case studies are presented at the end of each chapter.",http://books.google.com/books/content?id=S9DgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=S9DgAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=S9DgAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=248&source=gbs_api
u--q-PArkLoC,A Survey of Michigan County Library Users,Margaret Murray Wylie,Library use studies,1948,,,,486,,http://books.google.com/books/content?id=u--q-PArkLoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=u--q-PArkLoC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=u--q-PArkLoC&q=fiction&dq=fiction&hl=&cd=249&source=gbs_api
1MdjAAAAMAAJ,The Fiery Quill,Balkrishna Govind Gokhale,Marathi literature,1998,,,,212,"Nationalism in Marathi literature, 1870-1920; a study.",http://books.google.com/books/content?id=1MdjAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=1MdjAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=1MdjAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=250&source=gbs_api
kQIQAAAAYAAJ,Tales of the Supernatural in Early Modern Japan,Noriko T. Reider,Literary Criticism,2002,,,,212,"This book is intended to assess the significance of kaidan, specifically its multi-dimensional reflection of an impact on Japanese culture in the Edo period. The legacy of Japan's cultural efflorescence in the late eighteenth century was far-reaching, its fruits often seen as epitomizing the entire Tokugawa period. In the years between the Kan'en era (1748-1751) and the chilling effects of the Kansei Reforms (1790), there was no dearth of innovative belletristic expression, but in the area of fiction, the yomihon of Ueda Akinari (1734-1809) eclipse all else. Professor Reider's outstanding study treats this unusual scion of a remarkable age, contextualizing his work from a unique perspective. Under various noms de plume, Akinari authored significant works in several genres of both poetry and prose, but his greatest opus is incontrovertibly his Ugetsu monogatari (Tales of Moonlight and Rain), a collection of nine stories that revolutionized tales of the supernatural, elevating the genre to unprecedented levels of style and sophistication. Such a work deserves - and has duly received - ample critical attention from scholars on both sides of the Pacific, resulting in a plethora of seco",http://books.google.com/books/content?id=kQIQAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=kQIQAAAAYAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=kQIQAAAAYAAJ&q=fiction&dq=fiction&hl=&cd=251&source=gbs_api
-lDpAAAAMAAJ,Census of Public Libraries,New Zealand. Dept. of Statistics,Libraries,1969,,,,52,,http://books.google.com/books/content?id=-lDpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=-lDpAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=-lDpAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=252&source=gbs_api
v9lkAAAAMAAJ,Building Bridges,Joram Ten Brink,Performing Arts,2007,,,,350,"'Building Bridges' explores the work and legacy of French documentary-maker Jean Rouch. It contains over 20 new essays from a global cast of filmmakers, film critics, academics and actors, including a number of Rouch's African-based collaborators, and discusses his massive contribution to ethnographic filmmaking.",http://books.google.com/books/content?id=v9lkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=v9lkAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=v9lkAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=253&source=gbs_api
R0gcAQAAMAAJ,Academy and Literature,"Charles Edward Cutts Birch Appleton, Charles Edward Doble, James Sutherland Cotton, Charles Lewis Hind, William Teignmouth Shore, Alfred Bruce Douglas, Ellis Ashmead-Bartlett, Thomas William Hodgson Crosland",Literature,1897,,,,764,,http://books.google.com/books/content?id=R0gcAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=R0gcAQAAMAAJ&source=gbs_api,http://books.google.com/books?id=R0gcAQAAMAAJ&pg=PA83&dq=fiction&hl=&cd=254&source=gbs_api
C8ICMvPiMCwC,Monographic Series,Library of Congress,Monographic series,,,,,720,,http://books.google.com/books/content?id=C8ICMvPiMCwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=C8ICMvPiMCwC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=C8ICMvPiMCwC&pg=PA322&dq=fiction&hl=&cd=255&source=gbs_api
YH04z2GmFu8C,Proposed Tribal College Cataloging Systems,George Gregory Chester,Classification,2006,,,,474,,http://books.google.com/books/content?id=YH04z2GmFu8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=YH04z2GmFu8C&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=YH04z2GmFu8C&pg=PA186&dq=fiction&hl=&cd=256&source=gbs_api
vwoND55vf4gC,"Report of a Survey of the Public Library Situation at Milford, Conn",Joseph Lewis Wheeler,Libraries,1947,,,,54,,http://books.google.com/books/content?id=vwoND55vf4gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=vwoND55vf4gC&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=vwoND55vf4gC&q=fiction&dq=fiction&hl=&cd=257&source=gbs_api
lIEbAQAAMAAJ,International Literary Market Place,Unknown,Publishers and publishing,2003,,,,1782,,http://books.google.com/books/content?id=lIEbAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=lIEbAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=lIEbAQAAMAAJ&q=fiction&dq=fiction&hl=&cd=258&source=gbs_api
mfgPAQAAMAAJ,"Dictionary Catalog of the Klau Library, Cincinnati",Hebrew Union College-Jewish Institute of Religion. Library,Hebrew literature,1964,,,,730,,http://books.google.com/books/content?id=mfgPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=mfgPAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=mfgPAQAAMAAJ&pg=PA390&dq=fiction&hl=&cd=259&source=gbs_api
n_dQAQAAMAAJ,"Cases Decided in the Court of Session, Teind Court, Court of Exchequer and House of Lords",Scotland. Court of Session,"Law reports, digests, etc",1964,,,,792,Vols. for 1847/48-1872/73 include cases decided in the Teind Court; 1847/48-1858/59 include cases decided in the Court of Exchequer; 1850/51- included cases decided in the House of Lords; 1873/74- include cases decided in the Court of Justiciary.,http://books.google.com/books/content?id=n_dQAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=n_dQAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=n_dQAQAAMAAJ&q=fiction&dq=fiction&hl=&cd=260&source=gbs_api
JgnXAAAAMAAJ,The Interpretive Turn,"David R. Hiley, James Bohman, Richard Shusterman",Philosophy,1991,,,,342,,http://books.google.com/books/content?id=JgnXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=JgnXAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=JgnXAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=261&source=gbs_api
8x7yAAAAMAAJ,New Library World,Unknown,Libraries,1924,,,,396,,http://books.google.com/books/content?id=8x7yAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=8x7yAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=8x7yAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=262&source=gbs_api
EBRUAAAAYAAJ,Dissertation Abstracts International,Unknown,"Dissertations, Academic",1992-08,,,,456,,http://books.google.com/books/content?id=EBRUAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=EBRUAAAAYAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=EBRUAAAAYAAJ&q=fiction&dq=fiction&hl=&cd=263&source=gbs_api
RvLiAAAAMAAJ,University,Unknown,Uncategorized,1966,,,,568,,http://books.google.com/books/content?id=RvLiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=RvLiAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=RvLiAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=264&source=gbs_api
KLfiAAAAMAAJ,Bibliographic Guide to Education,Unknown,Bibliography,1984,,,,536,,http://books.google.com/books/content?id=KLfiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=KLfiAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=KLfiAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=265&source=gbs_api
MA3hAAAAMAAJ,National Union Catalog,Unknown,Union catalogs,1979,,,,1032,Includes entries for maps and atlases.,http://books.google.com/books/content?id=MA3hAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=MA3hAAAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=MA3hAAAAMAAJ&pg=PA391&dq=fiction&hl=&cd=266&source=gbs_api
Ys0PAQAAMAAJ,The British National Bibliography Cumulated Subject Catalogue,Unknown,"Bibliography, National",1951,,,,1288,,http://books.google.com/books/content?id=Ys0PAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Ys0PAQAAMAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=Ys0PAQAAMAAJ&pg=PA1908&dq=fiction&hl=&cd=267&source=gbs_api
b0HfzgEACAAJ,The Cambridge Companion to World Crime Fiction,"Jesper Gulddal, Stewart King, Alistair Rolls",Literary Criticism,2022-04-21,Cambridge University Press,,,320,"Accessible yet comprehensive, this first systematic account of crime fiction across the globe offers a deep and thoroughly nuanced understanding of the genre's transnational history. Offering a lucid account of the major theoretical issues and comparative perspectives that constitute world crime fiction, this book introduces readers to the international crime fiction publishing industry, the translation and circulation of crime fiction, international crime fiction collections, the role of women in world crime fiction, and regional forms of crime fiction. It also illuminates the past and present of crime fiction in various supranational regions across the world, including East and South Asia, the Arab World, Sub-Saharan Africa, Europe and Scandinavia, as well as three spheres defined by a shared language, namely the Francophone, Lusophone, and Hispanic worlds. Thoroughly-researched and broad in scope, this book is as valuable for general readers as for undergraduate and postgraduate students of popular fiction and world literature.",http://books.google.com/books/content?id=b0HfzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=b0HfzgEACAAJ&dq=fiction&hl=&source=gbs_api,http://books.google.com/books?id=b0HfzgEACAAJ&dq=fiction&hl=&cd=268&source=gbs_api
